融创·博鳌金湾,450-500,[博鳌] 海南博鳌滨海大道8号
琥珀悠澜,11500,[海口-美兰区] 海口市美兰区琼山大道86号
长岛蓝湾,14000,[临高-其他区域] 临高县临高角旅游度假区
东方假日,17000,[东方-东方商圈] 东方市解放东路与三环路交叉路口
倚能美林湾,16000,[海口-美兰区] 海口市美兰区琼山大道81号（琼州大桥左侧200米）
泰鑫花园,14000,[保亭] 保亭县保亭镇七仙大道（与明珠桥交汇处旁）
瑞海水城,11000,[琼海-琼海商圈] 琼海市银海路与嘉浪河交汇处
荣盛香水湾,28000-32000,[陵水-香水湾区] 陵水香水湾B区（东线高速公路香水湾出口）
龙沐湾·太阳城,9200,[乐东-乐东商圈] 乐东县西线高速龙沐湾旅游区入口
六艺王宫,27000,[五指山] 五指山市南圣河畔
融创·博鳌金湾,450-500,[博鳌] 海南博鳌滨海大道8号
琥珀悠澜,11500,[海口-美兰区] 海口市美兰区琼山大道86号
长岛蓝湾,14000,[临高-其他区域] 临高县临高角旅游度假区
东方假日,17000,[东方-东方商圈] 东方市解放东路与三环路交叉路口
倚能美林湾,16000,[海口-美兰区] 海口市美兰区琼山大道81号（琼州大桥左侧200米）
泰鑫花园,14000,[保亭] 保亭县保亭镇七仙大道（与明珠桥交汇处旁）
瑞海水城,11000,[琼海-琼海商圈] 琼海市银海路与嘉浪河交汇处
荣盛香水湾,28000-32000,[陵水-香水湾区] 陵水香水湾B区（东线高速公路香水湾出口）
龙沐湾·太阳城,9200,[乐东-乐东商圈] 乐东县西线高速龙沐湾旅游区入口
六艺王宫,27000,[五指山] 五指山市南圣河畔
融创·博鳌金湾,450-500,[博鳌] 海南博鳌滨海大道8号
琥珀悠澜,11500,[海口-美兰区] 海口市美兰区琼山大道86号
长岛蓝湾,14000,[临高-其他区域] 临高县临高角旅游度假区
东方假日,17000,[东方-东方商圈] 东方市解放东路与三环路交叉路口
倚能美林湾,16000,[海口-美兰区] 海口市美兰区琼山大道81号（琼州大桥左侧200米）
泰鑫花园,14000,[保亭] 保亭县保亭镇七仙大道（与明珠桥交汇处旁）
瑞海水城,11000,[琼海-琼海商圈] 琼海市银海路与嘉浪河交汇处
荣盛香水湾,28000-32000,[陵水-香水湾区] 陵水香水湾B区（东线高速公路香水湾出口）
龙沐湾·太阳城,9200,[乐东-乐东商圈] 乐东县西线高速龙沐湾旅游区入口
六艺王宫,27000,[五指山] 五指山市南圣河畔
融创·博鳌金湾,450-500,[博鳌] 海南博鳌滨海大道8号
琥珀悠澜,11500,[海口-美兰区] 海口市美兰区琼山大道86号
长岛蓝湾,14000,[临高-其他区域] 临高县临高角旅游度假区
东方假日,17000,[东方-东方商圈] 东方市解放东路与三环路交叉路口
倚能美林湾,16000,[海口-美兰区] 海口市美兰区琼山大道81号（琼州大桥左侧200米）
泰鑫花园,14000,[保亭] 保亭县保亭镇七仙大道（与明珠桥交汇处旁）
瑞海水城,11000,[琼海-琼海商圈] 琼海市银海路与嘉浪河交汇处
荣盛香水湾,28000-32000,[陵水-香水湾区] 陵水香水湾B区（东线高速公路香水湾出口）
龙沐湾·太阳城,9200,[乐东-乐东商圈] 乐东县西线高速龙沐湾旅游区入口
六艺王宫,27000,[五指山] 五指山市南圣河畔
融创·博鳌金湾,450-500,[博鳌] 海南博鳌滨海大道8号
琥珀悠澜,11500,[海口-美兰区] 海口市美兰区琼山大道86号
长岛蓝湾,14000,[临高-其他区域] 临高县临高角旅游度假区
东方假日,17000,[东方-东方商圈] 东方市解放东路与三环路交叉路口
倚能美林湾,16000,[海口-美兰区] 海口市美兰区琼山大道81号（琼州大桥左侧200米）
泰鑫花园,14000,[保亭] 保亭县保亭镇七仙大道（与明珠桥交汇处旁）
瑞海水城,11000,[琼海-琼海商圈] 琼海市银海路与嘉浪河交汇处
荣盛香水湾,28000-32000,[陵水-香水湾区] 陵水香水湾B区（东线高速公路香水湾出口）
龙沐湾·太阳城,9200,[乐东-乐东商圈] 乐东县西线高速龙沐湾旅游区入口
六艺王宫,27000,[五指山] 五指山市南圣河畔
融创·博鳌金湾,450-500,[博鳌] 海南博鳌滨海大道8号
琥珀悠澜,11500,[海口-美兰区] 海口市美兰区琼山大道86号
长岛蓝湾,14000,[临高-其他区域] 临高县临高角旅游度假区
东方假日,17000,[东方-东方商圈] 东方市解放东路与三环路交叉路口
倚能美林湾,16000,[海口-美兰区] 海口市美兰区琼山大道81号（琼州大桥左侧200米）
泰鑫花园,14000,[保亭] 保亭县保亭镇七仙大道（与明珠桥交汇处旁）
瑞海水城,11000,[琼海-琼海商圈] 琼海市银海路与嘉浪河交汇处
荣盛香水湾,28000-32000,[陵水-香水湾区] 陵水香水湾B区（东线高速公路香水湾出口）
龙沐湾·太阳城,9200,[乐东-乐东商圈] 乐东县西线高速龙沐湾旅游区入口
六艺王宫,27000,[五指山] 五指山市南圣河畔
融创·博鳌金湾,450-500,[博鳌] 海南博鳌滨海大道8号
琥珀悠澜,11500,[海口-美兰区] 海口市美兰区琼山大道86号
长岛蓝湾,14000,[临高-其他区域] 临高县临高角旅游度假区
东方假日,17000,[东方-东方商圈] 东方市解放东路与三环路交叉路口
倚能美林湾,16000,[海口-美兰区] 海口市美兰区琼山大道81号（琼州大桥左侧200米）
泰鑫花园,14000,[保亭] 保亭县保亭镇七仙大道（与明珠桥交汇处旁）
瑞海水城,11000,[琼海-琼海商圈] 琼海市银海路与嘉浪河交汇处
荣盛香水湾,28000-32000,[陵水-香水湾区] 陵水香水湾B区（东线高速公路香水湾出口）
龙沐湾·太阳城,9200,[乐东-乐东商圈] 乐东县西线高速龙沐湾旅游区入口
六艺王宫,27000,[五指山] 五指山市南圣河畔
融创·博鳌金湾,450-500,[博鳌] 海南博鳌滨海大道8号
琥珀悠澜,11500,[海口-美兰区] 海口市美兰区琼山大道86号
长岛蓝湾,14000,[临高-其他区域] 临高县临高角旅游度假区
东方假日,17000,[东方-东方商圈] 东方市解放东路与三环路交叉路口
倚能美林湾,16000,[海口-美兰区] 海口市美兰区琼山大道81号（琼州大桥左侧200米）
泰鑫花园,14000,[保亭] 保亭县保亭镇七仙大道（与明珠桥交汇处旁）
瑞海水城,11000,[琼海-琼海商圈] 琼海市银海路与嘉浪河交汇处
荣盛香水湾,28000-32000,[陵水-香水湾区] 陵水香水湾B区（东线高速公路香水湾出口）
龙沐湾·太阳城,9200,[乐东-乐东商圈] 乐东县西线高速龙沐湾旅游区入口
六艺王宫,27000,[五指山] 五指山市南圣河畔
融创·博鳌金湾,450-500,[博鳌] 海南博鳌滨海大道8号
琥珀悠澜,11500,[海口-美兰区] 海口市美兰区琼山大道86号
长岛蓝湾,14000,[临高-其他区域] 临高县临高角旅游度假区
东方假日,17000,[东方-东方商圈] 东方市解放东路与三环路交叉路口
倚能美林湾,16000,[海口-美兰区] 海口市美兰区琼山大道81号（琼州大桥左侧200米）
